biennials,bi-en-ni-als
chippings,chip-pings
implemented,im-ple-ment-ed
worthlessness,worth-less-ness
recrudescences,re-cru-des-cenc-es
slightness,slight-ness
iterating,it-er-at-ing
pragmatist,prag-ma-tist
halterneck,halt-er-neck
liberated,lib-er-at-ed
binderies,bind-er-ies
codpieces,cod-piec-es
doublebreasted,dou-ble--breast-ed
spryer,spry-er
perquisites,per-qui-sites
disaffects,dis-af-fects
preclusion,pre-clu-sion
dazedly,daz-ed-ly
therapeutics,ther-a-peu-tics
mummers,mum-mers
leadore,lead--ore
mummery,mum-mer-y
keelhauled,keel-hauled
apishness,ap-ish-ness
inefficiently,in-ef-fi-cient-ly
shorterlived,short-er--lived
flagcaptains,flag--cap-tains
indentation,in-den-ta-tion
demagogic,dem-a-gog-ic
adopting,a-dopt-ing
levantine,le-van-tine
menial,me-ni-al
ethnographer,eth-nog-ra-pher
magnifications,mag-ni-fi-ca-tions
chunkier,chunk-i-er
decries,de-cries
constrictions,con-stric-tions
jujus,ju-jus
fostersisters,fos-ter--sis-ters
threshingfloor,thresh-ing--floor
spays,spays
avens,av-ens
reckoner,reck-on-er
overworking,o-ver-work-ing
casehistory,case--his-to-ry
cowlicks,cow-licks
sidechapels,side--chap-els
uprightly,up-right-ly
catechists,cat-e-chists
quibbler,quib-bler
quibbles,quib-bles
secondsighted,sec-ond--sight-ed
introit,in-tro-it
cassowary,cas-so-war-y
guilefulness,guile-ful-ness
quibbled,quib-bled
rankle,ran-kle
dispossessing,dis-pos-sess-ing
tumidity,tu-mid-i-ty
pusses,puss-es
danes,danes
tahitian,ta-hi-tian
quibbling,quib-bling
pearldiver,pearl--div-er
protozoan,pro-to-zo-an
windsleeve,wind-sleeve
sisterhoods,sis-ter-hoods
louringly,lour-ing-ly
silhouetted,sil-hou-ett-ed
outgoes,out-goes
coercively,co-er-cive-ly
crabwise,crab-wise
hairdye,hair--dye
bolivians,bo-liv-i-ans
informality,in-for-mal-i-ty
lifesavers,life--sav-ers
softener,sof-ten-er
candidature,can-di-da-ture
poorrate,poor--rate
surveyor,sur-vey-or
selfsufficient,self--suf-fi-cient
phaetons,pha-e-tons
hazardously,haz-ard-ous-ly
inhumanely,in-hu-mane-ly
swearer,swear-er
hyperbola,hy-per-bo-la
shrewmouse,shrew--mouse
predictors,pre-dic-tors
cotyledons,cot-y-le-dons
aquanaut,a-qua-naut
boatswains,boat-swains
fielders,field-ers
officiously,of-fi-cious-ly
masterships,mas-ter-ships
phizogs,phiz-ogs
sweatiest,sweat-i-est
separator,sep-a-ra-tor
shortens,short-ens
nodules,nod-ules
minority,mi-nor-i-ty
dogcatchers,dog-catch-ers
whatfor,what--for
pudgiest,pudg-i-est
ackacks,ack--acks
henbanes,hen-banes
tonepoems,tone--po-ems
hydroplane,hy-dro-plane
gasifies,gas-i-fies
brigand,brig-and
stepchildren,step-chil-dren
procreated,pro-cre-at-ed
weekender,week-end-er
illusionists,il-lu-sion-ists
uncoloured,un-col-oured
weekended,week-end-ed
procreates,pro-cre-ates
quadruplicated,quad-ru-pli-cat-ed
decalogue,dec-a-logue
sphincters,sphinc-ters
cockscomb,cocks-comb
dottier,dot-ti-er
overtakes,o-ver-takes
plushiest,plush-i-est
dividendwarrants,div-i-dend--war-rants
harlequins,har-le-quins
agriculturists,ag-ri-cul-tur-ists
reforested,re-for-est-ed
clave,clave
flays,flays
ridingbreeches,rid-ing--breech-es
refooting,re-foot-ing
mystics,mys-tics
miscarry,mis-car-ry
doggone,dog-gone
colliers,col-liers
comedowns,come-downs
monophthongs,mon-oph-thongs
garnering,gar-ner-ing
apothegm,ap-o-thegm
polygamy,po-lyg-a-my
colliery,col-lier-y
frisks,frisks
reecho,re--ech-o
connoting,con-not-ing
feedbags,feed-bags
containerize,con-tain-er-ize
mustachios,mus-ta-chi-os
headstalls,head-stalls
willothewisp,will--o--the--wisp
calvinism,cal-vin-ism
misstate,mis-state
tentacle,ten-ta-cle
warmups,warm--ups
weaponless,weap-on-less
overclouds,o-ver-clouds
landholders,land-hold-ers
bronchial,bron-chi-al
gloweringly,glow-er-ing-ly
cautiousness,cau-tious-ness
investiture,in-ves-ti-ture
soggily,sog-gi-ly
spritsails,sprit-sails
mayoress,mayor-ess
prophetically,pro-phet-i-cal-ly
cremating,cre-mat-ing
bootleggers,boot-leg-gers
operatives,op-e-ra-tives
messianic,mes-si-an-ic
instrumentality,in-stru-men-tal-i-ty
coshing,cosh-ing
hedgehopping,hedge-hop-ping
vicarages,vic-ar-ag-es
prepuce,pre-puce
scarfpins,scarf--pins
ticklers,tick-lers
marital,mar-i-tal
goslows,go--slows
palatinates,pa-lat-i-nates
confucianism,con-fu-cian-ism
rebuts,re-buts
transferences,trans-fer-enc-es
headon,head--on
sportscoats,sports--coats
softeners,sof-ten-ers
noaccounts,no--ac-counts
typecast,type-cast
gazumps,ga-zumps
monetizing,mon-e-tiz-ing
sturdiness,stur-di-ness
bluntest,blunt-est
democratizing,de-moc-ra-tiz-ing
interchanging,in-ter-chang-ing
quaintly,quaint-ly
savvied,sav-vied
cutest,cut-est
matricides,mat-ri-cides
patriarchate,pa-tri-ar-chate
golddigger,gold--dig-ger
fuggier,fug-gi-er
filmable,film-a-ble
inadequately,in-ad-e-quate-ly
cattiness,cat-ti-ness
qataris,qa-ta-ris
knifeedge,knife--edge
nattier,nat-ti-er
cording,cord-ing
sating,sat-ing
scrounge,scrounge
tattlers,tat-tlers
flouncing,flounc-ing
tailpieces,tail-piec-es
overexerts,o-ver--ex-erts
naughts,naughts
turncocks,turn-cocks
ampersands,am-per-sands
zeppelins,zep-pe-lins
cracksman,cracks-man
sedges,sedg-es
parodying,par-o-dy-ing
stickpins,stick-pins
dandify,dan-di-fy
hermaphroditic,her-maph-ro-dit-ic
scribbler,scrib-bler
dumbfounded,dumb-found-ed
balloted,bal-lot-ed
doublestopped,dou-ble--stopped
wellwisher,well--wish-er
noblemindedly,no-ble--mind-ed-ly
invalids,in-valids
slitting,slit-ting
submersibles,sub-mer-si-bles
betokening,be-to-ken-ing
closeknit,close--knit
battlecruiser,bat-tle--cruis-er
gyp,gyp
monotonousness,mo-not-o-nous-ness
demographer,de-mog-ra-pher
stratifies,strat-i-fies
greengrocery,green-gro-cer-y
avocet,av-o-cet
paroxysms,par-ox-ysms
fairytale,fair-y-tale
electricians,e-lec-tri-cians
imputation,im-pu-ta-tion
sauceboats,sauce--boats
stratified,strat-i-fied
spiritlevels,spir-it--lev-els
lowness,low-ness
anatomically,an-a-tom-i-cal-ly
closestknit,clos-est--knit
extracting,ex-tract-ing
pantheon,pan-the-on
podgier,podg-i-er
ergonomics,er-go-nom-ics
freehand,free-hand
laicizing,la-i-ciz-ing
phoniest,pho-ni-est
swabs,swabs
defoliates,de-fo-li-ates
valencies,va-len-cies
wackier,wack-i-er
ensuring,en-sur-ing
synopsis,syn-op-sis
worseoff,worse--off
defoliated,de-fo-li-at-ed
uncrowned,un-crowned
caricatures,car-i-ca-tures
ridinglight,rid-ing--light
shysters,shy-sters
benefactions,ben-e-fac-tions
caricatured,car-i-ca-tured
masher,mash-er
mashes,mash-es
reimbursement,re-im-burse-ment
assisting,as-sist-ing
mushy,mush-y
tenniselbow,ten-nis--el-bow
cerebella,cer-e-bel-la
custodianship,cus-to-di-an-ship
demoting,de-mot-ing
docility,do-cil-i-ty
consumer,con-sum-er
molluscs,mol-luscs
sixfooters,six--foot-ers
amending,a-mend-ing
gummiest,gum-mi-est
convolutedly,con-vo-lut-ed-ly
speedup,speed--up
chilblains,chil-blains
numinousness,nu-mi-nous-ness
seadog,sea--dog
camphorate,cam-pho-rate
fluffiest,fluff-i-est
redeployed,re-de-ployed
disrelishes,dis-rel-ish-es
ingloriously,in-glo-ri-ous-ly
maneater,man--eat-er
gerunds,ger-unds
unruliest,un-ru-li-est
disrelished,dis-rel-ished
publicans,pub-li-cans
tiler,til-er
jubilates,ju-bi-lates
middleweights,mid-dle-weights
pacifying,pac-i-fy-ing
jubilated,ju-bi-lat-ed
slanderous,slan-der-ous
convulses,con-vuls-es
patten,pat-ten
impracticableness,im-prac-ti-ca-ble-ness
cassocks,cas-socks
chronological,chron-o-log-i-cal
waxiest,wax-i-est
marque,marque
internationalized,in-ter-na-tion-al-ized
grilles,grilles
sinker,sink-er
higheroctane,high-er--oc-tane
internationalizes,in-ter-na-tion-al-iz-es
xrays,x--rays
downandouts,down--and--outs
burialgrounds,bur-i-al--grounds
anteing,an-te-ing
podiatrist,po-di-a-trist
crewmen,crew-men
julies,ju-lies
mistily,mist-i-ly
tightest,tight-est
groined,groined
underarm,un-der-arm
antimony,an-ti-mo-ny
transliteration,trans-lit-er-a-tion
exponent,ex-po-nent
reprinting,re-print-ing
schmaltzy,schmaltz-y
tombolas,tom-bo-las
turbidness,tur-bid-ness
antagonistically,an-tag-o-nis-ti-cal-ly
embroiders,em-broi-ders
disquisitions,dis-qui-si-tions
insurances,in-sur-anc-es
riffling,rif-fling
impends,im-pends
blitzes,blitz-es
triplex,trip-lex
huntingcrop,hunt-ing--crop
questioner,ques-tion-er
beautician,beau-ti-cian
sharpsighted,sharp--sight-ed
blitzed,blitzed
weighbridge,weigh-bridge
ogresses,o-gress-es
prefabricates,pre-fab-ri-cates
eyedrops,eye-drops
regattas,re-gat-tas
prefabricated,pre-fab-ri-cat-ed
puffin,puf-fin
circumlocutions,cir-cum-lo-cu-tions
theocracies,the-oc-ra-cies
cinemas,cin-e-mas
laryngitis,lar-yn-gi-tis
uno,uno
selfdenying,self--de-ny-ing
alleluia,al-le-lu-ia
steersman,steers-man
archaeologically,ar-chae-o-log-i-cal-ly
gusher,gush-er
contraindication,con-tra-in-di-ca-tion
riled,riled
referendum,ref-er-en-dum
antacids,ant-ac-ids
riles,riles
okays,o-kays
wellpreserved,well--pre-served
soulfulness,soul-ful-ness
placentas,pla-cen-tas
chub,chub
nutshells,nut-shells
whippingposts,whip-ping--posts
placentae,pla-cen-tae
knobkerries,knob-ker-ries
etymologists,et-y-mol-o-gists
immobilizing,im-mo-bi-liz-ing
moronically,mo-ron-i-cal-ly
censored,cen-sored
sonorities,so-nor-i-ties
josshouse,joss--house
halma,hal-ma
dunnest,dun-nest
parasitical,par-a-sit-i-cal
suffrages,suf-frag-es
bestgrounded,best--ground-ed
exiling,ex-il-ing
intercoms,in-ter-coms
tinsmith,tin-smith
ridinghabit,rid-ing--hab-it
freightliners,freight-lin-ers
limejuice,lime-juice
smoothingirons,smooth-ing--i-rons
womanize,wom-an-ize
faker,fak-er
fakes,fakes
entrains,en-trains
fortifiers,for-ti-fi-ers
chronographs,chron-o-graphs
punkest,punk-est
extraditions,ex-tra-di-tions
matriculation,ma-tric-u-la-tion
watersupply,wa-ter--sup-ply
entitles,en-ti-tles
quid,quid
inadmissibility,in-ad-mis-si-bil-i-ty
showmen,show-men
concavity,con-cav-i-ty
horsechestnuts,horse--chest-nuts
rupiah,ru-pi-ah
militaristic,mil-i-ta-ris-tic
serials,se-ri-als
imperceptibility,im-per-cep-ti-bil-i-ty
scarfs,scarfs
marlinespikes,mar-line-spikes
nonprofitmaking,non--prof-it--mak-ing
addressographs,ad-dres-so-graphs
gormand,gor-mand
gamy,gam-y
summingup,sum-ming--up
guilders,guil-ders
bequest,be-quest
anarchists,an-ar-chists
powerlessly,pow-er-less-ly
goldrushes,gold--rush-es
unseasoned,un-sea-soned
armourers,ar-mour-ers
strangulate,stran-gu-late
drowsily,drow-si-ly
vends,vends
plasm,plasm
mizzles,miz-zles
serviette,ser-vi-ette
radioset,ra-di-o--set
preservable,pre-serv-a-ble
reefers,reef-ers
augments,aug-ments
superfluously,su-per-flu-ous-ly
reapinghook,reap-ing--hook
linocuts,li-no-cuts
dimwitted,dim--wit-ted
legitimatized,le-git-i-ma-tized
magistrates,mag-is-trates
stressmark,stress--mark
inconclusively,in-con-clu-sive-ly
sophistries,soph-is-tries
exhibitioner,ex-hi-bi-tion-er
legitimatizes,le-git-i-ma-tiz-es
megrims,me-grims
scatty,scat-ty
reuse,re-use
calvinists,cal-vin-ists
stockpiling,stock--pil-ing
dugongs,du-gongs
relines,re-lines
forester,for-est-er
stylishness,styl-ish-ness
wellintentioned,well--in-ten-tioned
commentate,com-men-tate
secretarygenerals,sec-re-tar-y--gen-e-rals
constitutionals,con-sti-tu-tion-als
canarybird,ca-nar-y--bird
chamberlains,cham-ber-lains
legitimatize,le-git-i-ma-tize
snowiness,snow-i-ness
reticences,ret-i-cenc-es
mischiefmaking,mis-chief--mak-ing
immolates,im-mo-lates
subvention,sub-ven-tion
furiousness,fu-ri-ous-ness
ukases,u-kas-es
inters,in-ters
curtainraiser,cur-tain--rais-er
immolated,im-mo-lat-ed
plaintively,plain-tive-ly
contrarieties,con-tra-ri-e-ties
sandpapering,sand-pa-per-ing
electromagnetic,e-lec-tro-mag-net-ic
subpoenaing,sub-poe-na-ing
payasyouearn,pay--as--you--earn
cannier,can-ni-er
levitation,lev-i-ta-tion
bamboozle,bam-boo-zle
oilslicks,oil--slicks
variorum,var-i-o-rum
betterchosen,bet-ter--cho-sen
steeringgear,steer-ing--gear
encumbers,en-cum-bers
glibness,glib-ness
taxability,tax-a-bil-i-ty
snappiness,snap-pi-ness
sulphides,sul-phides
ravenhaired,ra-ven--haired
punchbowls,punch--bowls
staggerer,stag-ger-er
polygamists,po-lyg-a-mists
eec,eec
climbdown,climb--down
restate,re-state
stockpots,stock-pots
peepbo,peep-bo
fellation,fel-la-tion
fatalists,fa-tal-ists
tastier,tast-i-er
overloads,o-ver-loads
picturegallery,pic-ture--gal-ler-y
overkill,o-ver-kill
diabetics,di-a-bet-ics
grottiest,grot-ti-est
windily,wind-i-ly
oilman,oil-man
preemption,pre--emp-tion
inductions,in-duc-tions
sojourner,so-journ-er
saltpetre,salt-pe-tre
warrantees,war-ran-tees
educationalist,ed-u-ca-tion-al-ist
radicalism,rad-i-cal-ism
sojourned,so-journed
deckchair,deck-chair
bobolink,bob-o-link
intoxicant,in-tox-i-cant
headachier,head-ach-i-er
idealizes,i-de-al-iz-es
entombment,en-tomb-ment
barrelling,bar-rel-ling
stevedores,ste-ve-dores
bubbliest,bub-bli-est
canoeists,ca-noe-ists
malignity,ma-lig-ni-ty
hedgesparrow,hedge--spar-row
pinny,pin-ny
metropolitans,met-ro-pol-i-tans
gasstations,gas--sta-tions
remounts,re-mounts
neaptide,neap--tide
outsmarting,out-smart-ing
milligrams,mil-li-grams
welldefined,well--de-fined
fating,fat-ing
conformists,con-form-ists
gneiss,gneiss
privily,priv-i-ly
spurofthemoment,spur--of--the--mo-ment
outworker,out-work-er
distrustfulness,dis-trust-ful-ness
simooms,si-mooms
frowzy,frow-zy
syllabicate,syl-lab-i-cate
semicolon,sem-i-co-lon
enginedriver,en-gine--driv-er
blockhead,block-head
flambeaux,flam-beaux
gamebird,game--bird
bloodstained,blood-stained
pedagogue,ped-a-gogue
callousness,cal-lous-ness
vivify,viv-i-fy
fruitiest,fruit-i-est
batik,ba-tik
clingy,cling-y
agreeing,a-gree-ing
iodized,i-o-dized
depreciatory,de-pre-ci-a-to-ry
matriarchal,ma-tri-ar-chal
welloiled,well--oiled
interlard,in-ter-lard
iodizes,i-o-diz-es
optically,op-ti-cal-ly
singlemindedness,sin-gle--mind-ed-ness
infatuate,in-fat-u-ate
genially,gen-ial-ly
abettors,a-bet-tors
punctilio,punc-til-i-o
grapevines,grape-vines
oppugning,op-pugn-ing
preconceiving,pre-con-ceiv-ing
brougham,brough-am
covetously,cov-et-ous-ly
modals,mo-dals
droshky,drosh-ky
decelerate,de-cel-er-ate
predetermining,pre-de-ter-min-ing
twigged,twigged
psychoanalysing,psy-cho-an-a-lys-ing
proletariat,pro-le-tar-i-at
outrivals,out-ri-vals
latchkeys,latch-keys
cougars,cou-gars
monkeyjackets,mon-key--jack-ets
pitchforking,pitch-fork-ing
overgreedy,o-ver--greed-y
gael,gael
fancier,fan-ci-er
sufferer,suf-fer-er
micrometers,mi-crom-e-ters
easterners,east-er-ners
gutless,gut-less
mackintosh,mack-in-tosh
oiltanker,oil--tank-er
iodizing,i-o-diz-ing
yieldingly,yield-ing-ly
outweighing,out-weigh-ing
gasbags,gas-bags
estranging,es-trang-ing
jettison,jet-ti-son
mashing,mash-ing
mc,mc
excellency,ex-cel-len-cy
wringers,wring-ers
technocracy,tech-noc-ra-cy
shandies,shan-dies
attracting,at-tract-ing
nineties,nine-ties
josses,joss-es
muscularly,mus-cu-lar-ly
pitchblack,pitch--black
musicstands,mu-sic--stands
semifinals,sem-i-fi-nals
twaddle,twad-dle
bipeds,bi-peds
quicksands,quick-sands
spanners,span-ners
stampinggrounds,stamp-ing--grounds
sawpit,saw-pit
sixfold,six-fold
commissars,com-mis-sars
torchraces,torch--rac-es
hypermarket,hy-per-mar-ket
tusker,tusk-er
pushbutton,push--but-ton
flagrancy,fla-gran-cy
entertainer,en-ter-tain-er
airfields,air-fields
ambuscading,am-bus-cad-ing
ingenuous,in-gen-u-ous
disarranging,dis-ar-rang-ing
copyholders,cop-y-hold-ers
disciplinarians,dis-ci-pli-nar-i-ans
bruiser,bruis-er
prognathous,prog-na-thous
rubbished,rub-bished
upstaging,up-stag-ing
carbuncles,car-bun-cles
romanian,ro-ma-ni-an
rubbishes,rub-bish-es
headboards,head-boards
mushiest,mush-i-est
burdensomeness,bur-den-some-ness
primming,prim-ming
rubberstamps,rub-ber--stamps
kebab,ke-bab
broomsticks,broom-sticks
sleepingsickness,sleep-ing--sick-ness
undersigned,un-der-signed
hardier,har-di-er
trebles,treb-les
watertowers,wa-ter--tow-ers
trafficators,traf-fi-ca-tors
surmount,sur-mount
aspidistra,as-pi-dis-tra
conformably,con-form-a-bly
pluses,plus-es
swagged,swagged
complaisant,com-plai-sant
conformable,con-form-a-ble
duds,duds
compactly,com-pact-ly
dynast,dy-nast
landgrave,land-grave
sectioning,sec-tion-ing
conformation,con-for-ma-tion
bosky,bosk-y
adoringly,a-dor-ing-ly
retrospection,ret-ro-spec-tion
canarybirds,ca-nar-y--birds
intuiting,in-tu-it-ing
bosks,bosks
antigens,an-ti-gens
pretences,pre-tenc-es
selfassurance,self--as-sur-ance
midriffs,mid-riffs
trapezium,tra-pe-zi-um
maintainable,main-tain-a-ble
tacticians,tac-ti-cians
glorifying,glo-ri-fy-ing
hyphened,hy-phened
entailed,en-tailed
lacquers,lac-quers
spuriously,spu-ri-ous-ly
dandier,dan-di-er
homelike,home-like
stammerers,stam-mer-ers
lobbying,lob-by-ing
boxoffice,box--of-fice
pally,pal-ly
roundheads,round-heads
rigouts,rig--outs
belabouring,be-la-bour-ing
complainant,com-plain-ant
supertax,su-per-tax
mongols,mon-gols
pintable,pin-ta-ble
magyars,mag-yars
pullulation,pul-lu-la-tion
addingmachine,add-ing--ma-chine
maestri,maes-tri
morphological,mor-pho-log-i-cal
bestgroomed,best--groomed
phonologically,pho-no-log-i-cal-ly
swabbing,swab-bing
nattiest,nat-ti-est
blowlamp,blow-lamp
overarm,o-ver-arm
warbrides,war--brides
fraudulence,fraud-u-lence
moroccans,mo-roc-cans
flysheet,fly-sheet
talc,talc
convectors,con-vec-tors
tali,tal-i
officialdom,of-fi-cial-dom
guttersnipe,gut-ter-snipe
esters,es-ters
distributors,dis-trib-u-tors
availing,a-vail-ing
impostors,im-pos-tors
recoup,re-coup
shipschandlers,ships--chan-dlers
burglarizing,bur-glar-iz-ing
phobics,pho-bics
allopathical,al-lo-path-i-cal
soueast,sou--east
joules,joules
hoarsest,hoars-est
sensitizes,sen-si-tiz-es
glassfuls,glass-fuls
cabriolets,cab-ri-o-lets
deducting,de-duct-ing
absconds,ab-sconds
uptake,up-take
enfilades,en-fi-lades
egocentrically,e-go-cen-tri-cal-ly
christening,chris-ten-ing
anteroom,an-te-room
choirschools,choir--schools
reseating,re-seat-ing
newsvendor,news-ven-dor
misgivings,mis-giv-ings
pewopeners,pew--o-pen-ers
rocs,rocs
diffracts,dif-fracts
hijack,hi-jack
doorhandles,door-han-dles
noncombatant,non-com-bat-ant
cowmen,cow-men
megrim,me-grim
fistula,fis-tu-la
sweepings,sweep-ings
nattering,nat-ter-ing
tobogganing,to-bog-gan-ing
jetpropelled,jet--pro-pelled
genealogists,ge-ne-al-o-gists
didactically,di-dac-ti-cal-ly
phut,phut
fazes,faz-es
vituperating,vi-tu-per-at-ing
angloindian,an-glo--in-di-an
reforestation,re-for-est-a-tion
sensor,sen-sor
millhands,mill--hands
soundrecording,sound--re-cord-ing
telegraphy,te-leg-ra-phy
disaffiliating,dis-af-fil-i-at-ing
papuan,pap-u-an
telegraphs,tel-e-graphs
paralysing,par-a-lys-ing
smudgy,smudg-y
felonies,fel-o-nies
graphologists,graph-ol-o-gists
dehumanization,de-hu-man-i-za-tion
bandbox,band-box
realignment,re-a-lign-ment
derivation,der-i-va-tion
convexly,con-vex-ly
sensationally,sen-sa-tion-al-ly
egoistical,e-go-is-ti-cal
moneyspinners,mon-ey--spin-ners
housemistress,house-mis-tress
suspender,sus-pend-er
wariest,war-i-est
whiskies,whis-kies
commercialize,com-mer-cial-ize
pannikin,pan-ni-kin
foaled,foaled
shipyard,ship-yard
cannonades,can-non-ades
senoritas,se-no-ri-tas
throwaways,throw-a-ways
dairymaids,dair-y-maids
headmen,head-men
aborting,a-bort-ing
canoodled,ca-noo-dled
participates,par-tic-i-pates
mischances,mis-chanc-es
visas,vi-sas
convolvuluses,con-vol-vu-lus-es
modernist,mod-ern-ist
illbred,ill--bred
spongier,spon-gi-er
participated,par-tic-i-pat-ed
canoodles,ca-noo-dles
subplot,sub-plot
moiled,moiled
subpoenas,sub-poe-nas
dislocating,dis-lo-cat-ing
pukka,puk-ka
expulsions,ex-pul-sions
danny,dan-ny
satirically,sa-tir-i-cal-ly
preordination,pre-or-di-na-tion
osteopath,os-te-o-path
surfboats,surf-boats
messiest,mess-i-est
donkeyjacket,don-key--jack-et
syllabication,syl-lab-i-ca-tion
notches,notch-es
fullhearted,full--heart-ed
deepfrozen,deep--fro-zen
encomiums,en-co-mi-ums
sabotaged,sab-o-taged
bootee,boot-ee
dogeatdog,dog--eat--dog
latinist,lat-in-ist
plumpuddings,plum--pud-dings
chivied,chiv-ied
markettown,mar-ket--town
villein,vil-lein
hearer,hear-er
chivies,chiv-ies
prestos,pres-tos
thumbstall,thumb--stall
intercalates,in-ter-ca-lates
lungfishes,lung-fish-es
transliterated,trans-lit-er-at-ed
whimsies,whim-sies
drubbing,drub-bing
consortium,con-sor-ti-um
sorehead,sore-head
verisimilitudes,ver-i-si-mil-i-tudes
orrises,or-ris-es
gloomier,gloom-i-er
roster,ros-ter
cheesecake,cheese-cake
sliproads,slip--roads
pennyweight,pen-ny-weight
oneeyed,one--eyed
albatrosses,al-ba-tross-es
accursedly,ac-curs-ed-ly
subcontinents,sub-con-ti-nents
befouled,be-fouled
anthologists,an-thol-o-gists
rankness,rank-ness
rightangled,right--an-gled
hazier,ha-zi-er
rating,rat-ing
overvaluing,o-ver--val-u-ing
accession,ac-ces-sion
airminded,air--mind-ed
corned,corned
stencilling,sten-cil-ling
dibbing,dib-bing
genealogist,ge-ne-al-o-gist
coxswains,cox-swains
abomb,a--bomb
deportation,de-por-ta-tion
arrack,ar-rack
twelfthnights,twelfth--nights
manoeuvre,ma-noeu-vre
dickybirds,dick-y-birds
teatowels,tea--tow-els
ringmasters,ring-mas-ters
patriarchates,pa-tri-ar-chates
stonewalling,stone-wall-ing
straggles,strag-gles
velocipede,ve-loc-i-pede
fostermother,fos-ter--moth-er
lowestminded,low-est--mind-ed
egalitarians,e-gal-i-tar-i-ans
heritable,her-it-a-ble
lochs,lochs
disinherit,dis-in-her-it
businesswoman,busi-ness-wom-an
overmantel,o-ver-man-tel
dowers,dow-ers
consubstantiate,con-sub-stan-ti-ate
verities,ver-i-ties
degaussed,de-gaussed
outfaced,out-faced
carpetsweepers,car-pet--sweep-ers
degausses,de-gauss-es
overexerting,o-ver--ex-ert-ing
libidinousness,li-bid-i-nous-ness
lettercases,let-ter--cas-es
larding,lard-ing
outfaces,out-fac-es
crabbiest,crab-bi-est
malted,malt-ed
chimpanzees,chim-pan-zees
limitable,lim-it-a-ble
lightningrods,light-ning--rods
legitimacy,le-git-i-ma-cy
demonetizes,de-mon-e-tiz-es
loonies,loon-ies
derangements,de-range-ments
sandstorms,sand-storms
knuckleduster,knuck-le--dust-er
neoclassic,ne-o-clas-sic
sistersinlaw,sis-ters--in--law
crucifies,cru-ci-fies
motivations,mo-ti-va-tions
betterhumoured,bet-ter--hu-moured
familiarizing,fa-mil-iar-iz-ing
brinksmanship,brinks-man-ship
uneconomic,un-e-co-nom-ic
quietuses,qui-e-tus-es
scriptwriters,script-writ-ers
muskier,musk-i-er
tattiest,tat-ti-est
parachutists,par-a-chut-ists
rheum,rheum
chaperoning,chap-er-on-ing
buryingground,bur-y-ing--ground
freebooter,free-boot-er
undock,un-dock
afterdamp,af-ter-damp
besthung,best--hung
protegee,pro-te-gee
mandragora,man-drag-o-ra
dependably,de-pend-a-bly
spindliest,spin-dli-est
skyhigh,sky--high
lobbied,lob-bied
muskroses,musk--ros-es
lubricator,lu-bri-ca-tor
sensibly,sen-si-bly
scurrilously,scur-ril-ous-ly
vitalization,vi-tal-i-za-tion
enfiladed,en-fi-lad-ed
disembarks,dis-em-barks
niftiest,nif-ti-est
stockiest,stock-i-est
drubbings,drub-bings
idiolect,id-i-o-lect
ideologist,i-de-ol-o-gist
memorialized,me-mo-ri-al-ized
divines,di-vines
basilicas,ba-sil-i-cas
butteries,but-ter-ies
invigorate,in-vig-or-ate
livebirth,live--birth
faintheartedly,faint--heart-ed-ly
centimetre,cen-ti-me-tre
memorializes,me-mo-ri-al-iz-es
rackrailway,rack--rail-way
reforests,re-for-ests
inadvertence,in-ad-vert-ence
filmier,film-i-er
vandalize,van-dal-ize
ethically,eth-i-cal-ly
confucian,con-fu-cian
placebos,pla-ce-bos
sagittariuses,sag-it-ta-ri-us-es
entrenching,en-trench-ing
transplantations,trans-plan-ta-tions
tidiness,ti-di-ness
tragedian,tra-ge-di-an
emendation,e-men-da-tion
chafer,chaf-er
stomached,stom-ached
kopje,kop-je
waterrat,wa-ter--rat
billiardrooms,bil-liard--rooms
disquieted,dis-qui-et-ed
straitjacket,strait-jack-et
nirvanas,nir-va-nas
deluged,del-uged
liberalize,lib-er-al-ize
foundling,found-ling
chloroform,chlo-ro-form
cauterize,cau-ter-ize
manysided,man-y--sid-ed
deluges,del-ug-es
landagent,land--a-gent
countermarch,coun-ter-march
seadogs,sea--dogs
turnabouts,turn-a-bouts
walkover,walk--o-ver
wellington,wel-ling-ton
substantive,sub-stan-tive
weirdies,weird-ies
quicksighted,quick--sight-ed
wageclaims,wage--claims
setters,set-ters
narkier,nark-i-er
crossbars,cross-bars
crosspieces,cross-piec-es
stepbrothers,step-broth-ers
whitsuntides,whit-sun-tides
bridecake,bride-cake
woodworking,wood-work-ing
betakes,be-takes
proximal,prox-i-mal
antitoxins,an-ti-tox-ins
startingposts,start-ing--posts
baptismal,bap-tis-mal
slapbang,slap--bang
blackshirt,black-shirt
sidesplitting,side-split-ting
shackling,shack-ling
suitableness,suit-a-ble-ness
godchild,god-child
guested,guest-ed
outranks,out-ranks
greybeard,grey-beard
classfellow,class--fel-low
decollete,de-colle-te
currishly,cur-rish-ly
balldresses,ball--dress-es
navvies,nav-vies
indisputable,in-dis-put-a-ble
indisputably,in-dis-put-a-bly
coldshoulder,cold--shoul-der
misinterpreting,mis-in-ter-pret-ing
squally,squal-ly
goldleaf,gold--leaf
pleasureboat,pleas-ure--boat
commandeer,com-man-deer
mealybugs,meal-y-bugs
sulkiness,sulk-i-ness
apexes,a-pex-es
tactual,tac-tu-al
